frame_id,class_name,x1,y1,x2,y2,confidence
146,potted plant,1794,460,1919,544,0.26902255415916443
147,potted plant,1795,460,1919,544,0.26255467534065247
154,person,1738,266,1837,474,0.39789023995399475
155,person,1739,266,1830,473,0.4186900854110718
156,person,1738,266,1832,473,0.3946067690849304
158,person,1737,266,1823,471,0.3986280560493469
159,person,1739,265,1826,473,0.3367454409599304
173,train,0,213,1918,394,0.3910236358642578
174,train,0,167,1919,390,0.41299909353256226
175,train,0,80,1918,385,0.3634379506111145
179,potted plant,900,566,994,620,0.35843130946159363
182,train,0,167,1919,416,0.714750349521637
186,train,0,213,1919,456,0.3993992805480957
188,potted plant,1803,465,1919,548,0.25202593207359314
191,train,0,130,1919,390,0.4343968331813812
196,truck,0,168,1919,452,0.6284081339836121
197,truck,0,175,1919,466,0.2898542582988739
208,truck,0,193,1919,672,0.34089815616607666
216,traffic light,710,560,805,604,0.7285357117652893
220,traffic light,689,559,789,613,0.35374605655670166
231,traffic light,622,562,730,603,0.677068293094635
238,train,0,174,1919,419,0.3125784993171692
247,traffic light,550,555,575,589,0.8970503211021423
247,train,0,224,1919,462,0.3333771526813507
248,traffic light,548,554,645,610,0.330625981092453
248,traffic light,543,558,575,591,0.6904199123382568
250,train,0,222,1919,460,0.32411760091781616
251,train,0,219,1919,461,0.5133587121963501
260,potted plant,1798,462,1919,549,0.4258888363838196
260,potted plant,53,417,178,580,0.3867810070514679
261,potted plant,1799,462,1919,549,0.5248610377311707
261,potted plant,54,419,178,569,0.3440660536289215
271,train,0,207,1918,421,0.40272969007492065
280,traffic light,387,562,489,610,0.7489860653877258
331,vase,1818,350,1870,476,0.26493045687675476
371,vase,1819,350,1870,472,0.8908765912055969
372,vase,1818,351,1871,475,0.30639320611953735
485,person,1738,263,1831,467,0.5887587666511536
485,person,1727,267,1790,421,0.3159083127975464
487,person,1741,264,1836,472,0.33760425448417664
493,person,1735,265,1814,458,0.45757630467414856
673,person,1736,256,1859,475,0.5029788613319397
674,person,1729,255,1866,475,0.6977370977401733
674,person,1723,260,1811,422,0.6057182550430298
675,person,1725,258,1812,425,0.9219311475753784
676,person,1727,259,1808,421,0.8276243209838867
677,person,1737,258,1838,467,0.45679473876953125
678,person,1737,256,1837,471,0.2794501781463623
683,person,1730,258,1817,426,0.3723657429218292
687,train,1372,587,1506,645,0.4988481104373932
688,train,1367,586,1502,645,0.2638753056526184
695,truck,1326,585,1459,641,0.2578135132789612
698,car,1310,551,1565,647,0.3267954885959625
