                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                 1.7248,                 1.3064,                 1.4082,                0.70624,                0.58455,                0.63012,                0.30606,                 1.8279,                 1.0798,                 1.2683,               0.005842,               0.005842,               0.005842
                     65,                  1.712,                 1.2961,                 1.3955,                0.70776,                0.57822,                0.62267,                0.30273,                 1.8283,                  1.082,                 1.2679,               0.005776,               0.005776,               0.005776
                     66,                 1.7113,                 1.2937,                 1.3963,                0.70688,                0.56608,                0.61334,                0.29866,                 1.8359,                 1.0855,                  1.271,                0.00571,                0.00571,                0.00571
                     67,                 1.7199,                 1.2983,                 1.4021,                0.70866,                 0.5657,                0.61705,                0.30412,                 1.8197,                 1.0801,                 1.2579,               0.005644,               0.005644,               0.005644
                     68,                 1.7074,                 1.2853,                 1.3926,                0.71374,                0.56595,                0.61507,                 0.2991,                 1.8456,                 1.0934,                 1.2774,               0.005578,               0.005578,               0.005578
                     69,                 1.7117,                 1.2818,                 1.3907,                0.72691,                0.56924,                0.62273,                0.30487,                 1.8307,                 1.0799,                 1.2687,               0.005512,               0.005512,               0.005512
                     70,                 1.7004,                 1.2756,                 1.3874,                0.72042,                0.57063,                0.62285,                0.29994,                 1.8471,                 1.0806,                 1.2724,               0.005446,               0.005446,               0.005446
                     71,                 1.7049,                 1.2763,                 1.3879,                0.71428,                0.56246,                0.61883,                0.30154,                 1.8301,                 1.0843,                 1.2659,                0.00538,                0.00538,                0.00538
                     72,                 1.7143,                 1.2868,                 1.3917,                0.71572,                0.57139,                0.62471,                0.30433,                 1.8255,                 1.0741,                 1.2583,               0.005314,               0.005314,               0.005314
                     73,                 1.7117,                 1.2832,                 1.3898,                 0.7152,                0.56823,                0.62102,                 0.3024,                 1.8374,                 1.0828,                 1.2667,               0.005248,               0.005248,               0.005248
                     74,                 1.6937,                 1.2692,                 1.3845,                0.71202,                0.56633,                0.61672,                0.30269,                  1.826,                 1.0826,                 1.2631,               0.005182,               0.005182,               0.005182
                     75,                 1.6984,                 1.2754,                 1.3833,                0.71877,                0.56608,                0.62117,                0.30365,                 1.8271,                 1.0766,                 1.2621,               0.005116,               0.005116,               0.005116
                     76,                 1.7034,                 1.2829,                 1.3866,                0.70925,                0.57038,                0.61997,                0.30179,                 1.8285,                 1.0842,                 1.2632,                0.00505,                0.00505,                0.00505
