frame_id,class_name,x1,y1,x2,y2,confidence
484,potted plant,1728,273,1793,417,0.7651332020759583
494,vase,1823,350,1876,466,0.5482831597328186
549,potted plant,1724,269,1789,414,0.6129789352416992
550,potted plant,1726,270,1791,416,0.704515814781189
551,potted plant,1726,271,1792,416,0.6272193193435669
560,vase,1821,350,1877,465,0.5975470542907715
582,vase,1820,350,1877,456,0.5030076503753662
591,vase,1822,351,1880,464,0.5608823895454407
624,bus,1715,616,1833,685,0.6812226176261902
625,bus,1712,617,1827,685,0.6068515777587891
626,bus,1703,617,1825,685,0.7246534824371338
630,bus,1682,620,1798,682,0.8392627835273743
631,bus,1678,619,1795,684,0.9080971479415894
632,train,1674,618,1790,677,0.7839666604995728
633,train,1670,617,1785,675,0.8474932909011841
636,train,1650,610,1768,675,0.8403405547142029
640,train,1632,612,1745,669,0.7926971316337585
642,train,1623,609,1733,666,0.68251633644104
643,train,1613,607,1725,666,0.5039966106414795
644,train,1607,606,1727,670,0.8706004619598389
645,train,1601,605,1718,667,0.7499563097953796
650,train,1576,601,1695,663,0.7258625626564026
651,train,1572,599,1687,664,0.6562835574150085
654,train,1556,599,1674,661,0.6128515005111694
658,train,1536,600,1658,663,0.7236283421516418
659,train,1530,598,1651,661,0.6293006539344788
664,train,1511,592,1624,659,0.5846096873283386
666,train,1495,587,1821,675,0.5631935000419617
672,train,1458,592,1584,656,0.663893461227417
673,potted plant,1725,273,1788,410,0.6924007534980774
674,potted plant,1725,274,1793,413,0.6039307713508606
677,train,1430,590,1549,646,0.5235321521759033
678,train,1425,591,1544,646,0.6742208003997803
679,train,1418,590,1539,647,0.9006097316741943
680,train,1417,589,1533,644,0.8877992033958435
681,train,1409,589,1533,645,0.630291223526001
682,train,1404,587,1537,648,0.8298854827880859
683,vase,1825,350,1876,466,0.6325878500938416
684,train,1399,584,1524,647,0.6956796646118164
693,vase,1825,350,1880,449,0.602693498134613
693,bird,1010,548,1044,574,0.6267902851104736
694,vase,1824,353,1878,452,0.703766942024231
694,bird,1009,550,1045,578,0.8026306629180908
694,bird,1016,559,1060,588,0.5624263286590576
697,truck,1315,580,1438,639,0.7558454871177673
698,truck,1315,581,1440,643,0.5897589921951294
699,truck,1309,580,1433,644,0.9557348489761353
700,truck,1300,581,1421,641,0.6462095975875854
701,truck,1294,577,1416,640,0.9139864444732666
702,truck,1288,575,1409,639,0.7702839374542236
703,truck,1281,572,1404,641,0.8971273303031921
704,truck,1278,574,1399,641,0.95453280210495
705,train,1276,573,1391,640,0.6249144673347473
706,truck,1271,573,1390,641,0.9816964268684387
707,truck,1263,570,1382,644,0.9857509136199951
708,truck,1258,570,1377,644,0.984017550945282
709,truck,1253,568,1366,639,0.6184380650520325
710,truck,1247,570,1366,642,0.9856553077697754
711,truck,1243,568,1360,640,0.9917430281639099
712,truck,1237,569,1354,639,0.9788029193878174
713,truck,1236,570,1348,638,0.969266951084137
714,truck,1226,562,1343,639,0.9461647868156433
715,truck,1219,566,1337,638,0.9815395474433899
716,truck,1214,565,1331,637,0.9894179701805115
717,truck,1208,558,1325,636,0.7982577681541443
718,truck,1204,558,1321,637,0.9901712536811829
719,truck,1196,558,1316,636,0.9484630227088928
720,truck,1191,557,1309,634,0.9250746965408325
721,truck,1190,564,1300,635,0.682380735874176
723,truck,1176,566,1292,633,0.8426678776741028
723,car,1176,566,1293,632,0.6872734427452087
724,truck,1169,557,1290,634,0.7994687557220459
725,truck,1164,566,1279,630,0.9121400117874146
729,truck,1142,572,1255,631,0.8538536429405212
729,car,1144,571,1259,631,0.8465153574943542
732,truck,1124,572,1238,630,0.8878082633018494
733,truck,1119,571,1232,630,0.6679316163063049
733,potted plant,1725,272,1791,412,0.7592746615409851
734,truck,1116,569,1231,628,0.9529612064361572
