                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 1.1111,                0.55879,                  1.101,                0.84811,                0.76693,                 0.8261,                0.47419,                 1.4367,                0.61021,                 1.1534,                0.00637,                0.00637,                0.00637
                     57,                 1.1105,                0.55498,                 1.0888,                0.83914,                0.76312,                0.82412,                0.47559,                 1.4302,                 0.6097,                 1.1422,               0.006304,               0.006304,               0.006304
                     58,                 1.1036,                0.55256,                 1.0846,                0.82986,                0.74099,                0.80738,                0.46561,                 1.4346,                0.62177,                 1.1394,               0.006238,               0.006238,               0.006238
                     59,                 1.0982,                0.55127,                  1.081,                0.84373,                0.76881,                  0.831,                0.47574,                 1.4424,                0.60961,                 1.1405,               0.006172,               0.006172,               0.006172
                     60,                 1.0956,                 0.5477,                 1.0819,                0.84463,                0.77069,                 0.8254,                0.47459,                 1.4402,                0.61388,                 1.1522,               0.006106,               0.006106,               0.006106
                     61,                 1.0928,                0.54583,                 1.0828,                0.83333,                0.76312,                0.81699,                  0.467,                 1.4503,                0.61225,                 1.1574,                0.00604,                0.00604,                0.00604
                     62,                 1.0928,                0.54672,                 1.0799,                0.84404,                0.75973,                0.81996,                0.46594,                 1.4797,                0.61503,                 1.1676,               0.005974,               0.005974,               0.005974
                     63,                 1.0833,                0.53985,                 1.0789,                0.83708,                0.76028,                0.81818,                0.46836,                 1.4536,                0.61438,                 1.1658,               0.005908,               0.005908,               0.005908
                     64,                 1.0801,                0.53893,                  1.079,                0.83726,                0.77412,                0.82285,                0.47449,                 1.4356,                0.60664,                 1.1515,               0.005842,               0.005842,               0.005842
                     65,                 1.0713,                0.53487,                 1.0755,                0.84106,                0.77716,                0.82468,                0.47034,                 1.4497,                  0.612,                 1.1588,               0.005776,               0.005776,               0.005776
                     66,                 1.0675,                0.53269,                 1.0714,                0.83507,                 0.7678,                0.81927,                0.47296,                 1.4246,                0.60748,                 1.1485,                0.00571,                0.00571,                0.00571
                     67,                  1.069,                0.53289,                 1.0689,                0.83094,                0.76742,                0.81849,                0.46938,                 1.4435,                 0.6073,                 1.1488,               0.005644,               0.005644,               0.005644
                     68,                 1.0632,                0.52684,                 1.0703,                 0.8442,                0.75726,                0.81946,                0.47526,                  1.429,                0.60577,                 1.1517,               0.005578,               0.005578,               0.005578
                     69,                  1.056,                0.52298,                 1.0637,                0.83861,                0.76654,                0.82486,                0.47358,                 1.4467,                0.60379,                 1.1556,               0.005512,               0.005512,               0.005512
                     70,                 1.0491,                0.51967,                 1.0582,                0.83064,                0.76995,                0.81852,                 0.4642,                 1.4678,                0.60679,                 1.1612,               0.005446,               0.005446,               0.005446
                     71,                 1.0459,                0.52024,                  1.063,                 0.8362,                0.77223,                0.82027,                0.46674,                  1.457,                0.61222,                 1.1629,                0.00538,                0.00538,                0.00538
                     72,                 1.0446,                0.51869,                 1.0601,                0.84597,                0.75933,                0.82163,                0.47019,                 1.4578,                0.61102,                 1.1639,               0.005314,               0.005314,               0.005314
                     73,                 1.0384,                0.51334,                  1.055,                0.84252,                0.75305,                0.81648,                0.47303,                 1.4353,                0.60635,                 1.1472,               0.005248,               0.005248,               0.005248
                     74,                 1.0328,                0.51117,                 1.0551,                0.83062,                0.76966,                0.81786,                0.47317,                 1.4261,                0.60728,                 1.1454,               0.005182,               0.005182,               0.005182
                     75,                  1.031,                 0.5108,                 1.0525,                0.83837,                0.76421,                0.81799,                0.47387,                 1.4355,                0.60453,                 1.1451,               0.005116,               0.005116,               0.005116
                     76,                 1.0287,                0.50729,                 1.0467,                0.84134,                0.75579,                0.81986,                0.47384,                 1.4466,                0.60635,                 1.1417,                0.00505,                0.00505,                0.00505
                     77,                 1.0245,                0.50525,                   1.05,                0.84238,                0.76489,                0.82852,                0.48022,                  1.425,                0.59776,                 1.1458,               0.004984,               0.004984,               0.004984
                     78,                 1.0212,                0.50399,                 1.0466,                0.83311,                0.77627,                  0.822,                0.47418,                 1.4339,                0.60169,                 1.1465,               0.004918,               0.004918,               0.004918
                     79,                  1.009,                0.49632,                 1.0391,                0.83362,                0.77058,                0.82154,                0.47573,                 1.4361,                0.59943,                 1.1499,               0.004852,               0.004852,               0.004852
                     80,                 1.0091,                0.49828,                 1.0378,                0.83746,                0.76211,                0.82121,                0.47495,                   1.44,                0.59946,                 1.1473,               0.004786,               0.004786,               0.004786
                     81,                  1.007,                0.49609,                 1.0429,                0.83503,                0.76051,                0.81629,                0.47427,                 1.4283,                0.60659,                 1.1528,                0.00472,                0.00472,                0.00472
                     82,                 1.0017,                0.49429,                 1.0382,                 0.8378,                0.75642,                0.81621,                0.47075,                 1.4449,                 0.6056,                 1.1566,               0.004654,               0.004654,               0.004654
                     83,                 1.0005,                0.49241,                 1.0355,                0.84838,                0.77208,                0.82362,                0.47516,                 1.4414,                0.59883,                 1.1517,               0.004588,               0.004588,               0.004588
                     84,                0.99703,                 0.4912,                 1.0349,                0.83599,                0.77842,                0.82473,                0.47597,                 1.4375,                0.59745,                 1.1457,               0.004522,               0.004522,               0.004522
                     85,                0.98874,                0.48597,                 1.0281,                0.84164,                0.76641,                 0.8257,                0.47572,                 1.4364,                0.59806,                 1.1497,               0.004456,               0.004456,               0.004456
                     86,                0.98218,                0.48417,                 1.0254,                0.83996,                0.76856,                0.82511,                0.47332,                 1.4472,                0.60292,                 1.1536,                0.00439,                0.00439,                0.00439
                     87,                0.98377,                0.48337,                 1.0287,                0.83753,                0.77255,                0.82328,                0.47515,                 1.4284,                 0.5986,                 1.1492,               0.004324,               0.004324,               0.004324
                     88,                0.98529,                0.48552,                 1.0278,                0.83374,                0.76866,                 0.8237,                0.47652,                 1.4302,                0.60251,                 1.1514,               0.004258,               0.004258,               0.004258
                     89,                0.97127,                0.47583,                 1.0236,                0.83821,                0.76664,                  0.825,                0.47583,                 1.4336,                    0.6,                  1.152,               0.004192,               0.004192,               0.004192
                     90,                0.97307,                0.48008,                 1.0244,                0.83938,                0.77198,                0.82998,                0.47827,                 1.4353,                0.59791,                   1.15,               0.004126,               0.004126,               0.004126
                     91,                0.96913,                0.47604,                 1.0178,                0.84191,                0.77324,                0.83155,                0.47853,                 1.4346,                0.59579,                 1.1482,                0.00406,                0.00406,                0.00406
                     92,                0.96612,                0.47185,                 1.0132,                0.84483,                0.77311,                0.82582,                0.47442,                 1.4474,                0.59853,                 1.1515,               0.003994,               0.003994,               0.003994
                     93,                 0.9584,                0.47002,                 1.0149,                0.83977,                0.77552,                0.82314,                0.47424,                 1.4372,                0.59825,                 1.1552,               0.003928,               0.003928,               0.003928
                     94,                0.95433,                0.46815,                 1.0129,                0.84081,                0.76952,                0.82316,                0.47519,                 1.4311,                0.59729,                 1.1515,               0.003862,               0.003862,               0.003862
                     95,                0.94851,                0.46462,                 1.0101,                0.83997,                0.76944,                 0.8247,                0.47711,                 1.4326,                0.59916,                 1.1506,               0.003796,               0.003796,               0.003796
                     96,                 0.9476,                 0.4647,                 1.0136,                 0.8401,                0.77299,                0.82768,                0.47793,                  1.436,                0.59774,                 1.1512,                0.00373,                0.00373,                0.00373
                     97,                0.94349,                0.46148,                 1.0054,                0.83958,                0.78298,                0.82988,                0.47889,                 1.4329,                0.59727,                 1.1461,               0.003664,               0.003664,               0.003664
                     98,                0.93671,                0.46053,                 1.0093,                0.84701,                0.77488,                0.82872,                0.47722,                  1.434,                0.59604,                 1.1525,               0.003598,               0.003598,               0.003598
                     99,                0.93704,                0.46285,                 1.0091,                0.84512,                0.77539,                 0.8287,                0.47695,                 1.4342,                0.59307,                 1.1573,               0.003532,               0.003532,               0.003532
                    100,                0.93173,                0.45696,                 1.0043,                0.84549,                0.77969,                0.83036,                0.47441,                 1.4437,                0.59514,                 1.1617,               0.003466,               0.003466,               0.003466
                    101,                0.92444,                0.45228,                 0.9984,                0.84504,                0.78083,                0.83041,                 0.4757,                 1.4406,                0.59313,                 1.1606,                 0.0034,                 0.0034,                 0.0034
                    102,                0.91854,                0.45112,                 1.0017,                0.84604,                0.77768,                0.82754,                0.47437,                 1.4433,                0.59537,                 1.1692,               0.003334,               0.003334,               0.003334
                    103,                0.92406,                0.45373,                 1.0066,                0.84102,                0.77969,                0.82635,                0.47196,                 1.4476,                0.59686,                 1.1738,               0.003268,               0.003268,               0.003268
                    104,                0.91439,                0.44845,                 1.0005,                0.84319,                0.77867,                0.82516,                0.47302,                 1.4403,                 0.5961,                  1.172,               0.003202,               0.003202,               0.003202
                    105,                0.91032,                0.44577,                0.99566,                0.84309,                0.78032,                 0.8252,                0.47379,                 1.4376,                 0.5948,                 1.1679,               0.003136,               0.003136,               0.003136
                    106,                0.90844,                0.44614,                0.99934,                0.84036,                0.78023,                0.82282,                0.47362,                  1.432,                0.59747,                 1.1654,                0.00307,                0.00307,                0.00307
                    107,                0.90633,                 0.4433,                0.99401,                0.83662,                0.77714,                0.82057,                0.47211,                  1.434,                0.59767,                 1.1666,               0.003004,               0.003004,               0.003004
                    108,                0.90619,                 0.4414,                0.99197,                0.83409,                0.77918,                0.82107,                0.47106,                 1.4406,                0.59764,                 1.1672,               0.002938,               0.002938,               0.002938
                    109,                0.89768,                0.43898,                0.98948,                 0.8362,                0.77969,                0.82244,                0.47227,                 1.4392,                0.59616,                 1.1671,               0.002872,               0.002872,               0.002872
                    110,                 0.8964,                0.43883,                0.98936,                0.83784,                 0.7763,                0.82191,                0.47255,                 1.4349,                0.59677,                 1.1658,               0.002806,               0.002806,               0.002806
                    111,                0.89339,                 0.4357,                0.99035,                0.83903,                0.78032,                0.82353,                0.47078,                 1.4426,                 0.5964,                 1.1706,                0.00274,                0.00274,                0.00274
                    112,                 0.8884,                0.43455,                0.98664,                0.84361,                0.77842,                0.82444,                0.47139,                 1.4432,                0.59516,                 1.1717,               0.002674,               0.002674,               0.002674
                    113,                0.88621,                0.43403,                0.98109,                 0.8441,                0.77842,                0.82303,                0.46964,                 1.4455,                0.59584,                 1.1722,               0.002608,               0.002608,               0.002608
                    114,                 0.8799,                0.42965,                0.97894,                0.84524,                 0.7788,                0.82405,                 0.4722,                 1.4404,                0.59457,                 1.1676,               0.002542,               0.002542,               0.002542
                    115,                 0.8744,                0.42763,                0.97969,                0.84936,                0.77501,                0.82514,                0.47256,                 1.4432,                0.59576,                  1.168,               0.002476,               0.002476,               0.002476
